"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"5144ef220e079ee633501933c5f1ac3e",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"50b1f51e14446dd333a8601d0a33b017",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ff88431174e100d99d15406a604e8de5",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"b59c54dcf62b65a7276f15da365bb695",0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
"fb9a338e5f7f72f8e7f9191a176be992",0,0,0,0,0,2,5,1,0,3,0,1,0,0,0
"2adc1ba3d834300ee8a43419ffa00534",1,0,0,0,0,0,4,0,1,1,0,0,0,0,0
"6fdd431b3dfea0c6460c9faa8fffdca0",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"b3abadfe1a2c0fc6c884c9c2c62af632",0,0,0,0,0,0,17,0,0,1,0,0,0,0,0
"dd9897bd8242fa19cacd77ef984f70a3",0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
"35cdfb02f9b0722d2c4a2defb771a99c",1,13,0,0,0,0,13,4,0,5,0,4,0,0,11
"a6d29b36e12313906a9545b56c5323fa",0,0,0,0,0,0,6,0,0,1,0,0,10,0,0
"ca73ccc554eb6879021970c9b0dc944f",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"f17504f3612d4e1208f0b4b74cce854d",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"d37a5c1645db8e938e8337d656195e0f",1,0,0,0,0,0,0,4,2,1,0,2,0,0,0
"3f53c5da3639faed910a779846b79241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1bf717880f4a8ea9b4e8af12cf69d04f",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"6a3a43c54a8e60262423de1db7c05d0f",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"d79788b33101853cb7e2e1406995a434",5,0,0,0,0,0,8,6,0,4,1,2,0,0,0
"f0ffa1f03631151c73eac15f0458bcf0",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"4e36e119b0f69d08c3c7a5711b04be2a",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"5896fd6bb2a8398fe11c52e15de1a5e0",2,0,0,0,0,0,11,14,0,1,1,4,0,15,0
"55933df97e00d4ce8d4607b1678b2c5d",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"ac6c9a296f66b27f92fbeba49ce98d60",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"f53aaf46b99edfe6c65648b8ad91cc83",4,13,16,0,9,0,45,14,22,19,0,2,5,0,2
"c5dae024c240017415a12acc2f2140b4",0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
"ba952f6357da97f4149cb3db2a016b42",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"fbc38c4000c6dd32a78fe8165d6d4fcd",1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"04aad11c961ce44168a279045257595d",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"a69f9e9cc3e6725b386ceddcfd8d6a32",0,0,0,0,0,0,35,1,0,0,2,0,0,0,0
"3e1ac0a238005f3e094f9c6dcc0cc6c0",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"0077ac1f56ac481cfc24e6f701c413da",27,0,0,0,0,0,4,11,0,0,0,2,0,0,0
"fa7f78574f2ef4127d88b44e650d81fa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e57abb500b4a73cfe8d7c6f7a78c372e",8,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"34dffd80056356377a4273105b3ed26c",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b6db0c15770f148f318ce56cc7b8c0f5",0,0,0,0,0,0,1,4,0,6,0,0,0,0,0
"abf0aedc0f651167f0930e812d33a42f",0,0,0,0,0,0,10,1,0,0,0,0,0,0,0
"8adeff96e26bce296286d192f9b3c7af",0,228,120,0,17,0,0,5,227,89,0,0,46,268,174
"d810aff76f2520e4df3ecefcdbd252ac",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ecc5875cf8f80ca8a220f80e45e0ad65",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
