sequence	16S_rRNA_Count	metadata_NSTI
0136135e20d4f3228939d95d9fc3c6d7	1	0.587572
0136574468628cdae9573ae33be2dd5a	1	1.421664
0136bd2564146214ef00122ce6844b09	1	0.138732
0136e9ec498f2d5e8dd67deb6d34cbbd	2	0.11127999999999999
013849982c0a909ee0707104011280b7	1	0.28939699999999996
01384b1836a2aac60cc5141e5cff64eb	1	0.917759
013a8cd4e606bc7974e293e7c6939db0	1	2.4606220000000003
013bba991ece3421cca0963e63f74b55	1	0.340677
013c33541bf9f32bb75a35b1420a23ef	1	0.727997
013cbe310bfff81f0f23ab67fb2fe0eb	1	0.6657649999999999
013cdc400ab1486e62643a6fc8d38c32	2	0.317087
013f6060f9bc1bcc030eca265595d8e0	1	0.031487
01403e0337e2e13603ba744c745dca55	10	4.187196
0140eda91b0784630ab0dfb3c39f4697	1	0.9290579999999999
0142a8c73654310a4df40913adfe3b8b	1	0.153906
0142a9fa7939b693091ddd8518f54b96	1	0.6179279999999999
0145763bcf50afb386ec1fdd9894dc11	2	0.124828
0145c1e7be28724f71f05b8f902908d5	2	0.044306
01465196625d35783ad949ad28831fb5	1	0.9127139999999999
0147767441291e3bfa1c9e96e55ad9b1	1	0.20533200000000001
0149f6cd6d598d6ce1a039e4bc18141d	1	0.11333599999999999
014a2c190dbb7179fde719970d7db217	1	0.6061310000000001
014ad75ca239a629bae2f4d17ec820ec	1	0.389259
014d2fa922829f23105662cb722491c7	1	0.7554960000000001
014deca9e3b7a865e311f569986c04f5	1	0.7228140000000001
014e2c3fb9882d0114c7e78dfb248a19	1	0.545848
014f267c4f773a1a2a2b440e02683a77	1	0.974223
015000a782bc38981ca93ef91ac164b8	1	0.104466
0150245e867129a38b216c6a528b2356	1	0.193407
